medicine,ceil_price
"abacavir (a) + lamivudine
(b)",25.44
acetazolamide,4.13
acetazolamide,5.14
acetylsalicylic acid,0.36
acetylsalicylic acid,0.72
acetylsalicylic acid,0.68
acetylsalicylic acid,0.22
acetylsalicylic acid,0.21
acetylsalicylic acid,0.51
acetylsalicylic acid,0.39
actinomycin d,336.79
acyclovir,13.9
acyclovir,7.74
acyclovir,433.82
acyclovir,537.65
acyclovir,38.32
acyclovir,11.87
acyclovir,1.38
adenosine,94.48
adrenaline,12.44
albendazole,1.82
albendazole,7.16
ampicillin,14.5
ampicillin,25.35
anti-d immunoglobulin,2703.72
anti-d immunoglobulin,2107.45
"anti-rabies
immunoglobulin",3161.67
"anti-rabies
immunoglobulin",111.47
"anti-tetanus
immunoglobulin",1266.45
"anti-tetanus
immunoglobulin",1908.39
"anti-tetanus
immunoglobulin",2730.9
arsenic trioxide,31.07
"artemether (a) +
lumefantrine(b)",18.35
"artemether (a)
+lumefantrine(b)",25.95
"artemether (a)
+lumefantrine(b)",12.87
artesunate,248.99
artesunate,462.35
"artesunate (a) +
sulphadoxine -
pyrimethamine (b)",22.94
"artesunate (a) +
sulphadoxine -
pyrimethamine (b)",37.36
"artesunate (a) +
sulphadoxine -
pyrimethamine (b)",50.72
baclo fen,6.48
bcg vaccine,8.15
"bend amustine
hydrochloride",5032.89
benz athine benzyl penicillin,20.15
benz athine benzyl penicillin,11.89
benz oyl peroxide,3.68
benz oyl peroxide,8.11
benz oyl peroxide,10.29
benzo yl peroxide,2.95
benzy l penicillin,14.82
betam ethasone,4.82
betam ethasone,1.04
betam ethasone valerate,0.67
betam ethasone valerate,0.68
betam ethasone valerate,1.06
bical utamide,44.05
bisac odyl,1.19
bisac odyl,10.15
"bupr enorphine (a)
+naloxone (b)",37.62
"bupr enorphine (a)
+naloxone (b)",12.03
caffe ine,249.96
caffe ine,254.86
calam ine,0.97
calciu m carbonate,2.19
calci um folinate,48.37
calciu m gluconate,0.69
cape citabine,114.69
carba mazepine,2.44
carba mazepine,4.74
carba mazepine,3.61
carba mazepine,1.6
carba mazepine,0.32
carba mazepine,1.09
carbi mazole,4.33
carbi mazole,2.23
carbi mazole,14.11
carbo platin,60.1
carbo xymethyl cellulose,12.51
carbo xymethyl cellulose,16.87
cefad roxil,6.83
cefad roxil,0.69
cefad roxil,9.05
cefaz olin,31.09
cefaz olin,19.71
cefix ime,22.48
chole calciferol,34.57
chole calciferol,23.54
cipro floxacin,2.24
cipro floxacin,4.32
cipro floxacin,1.57
cipro floxacin,0.2
cipro floxacin,0.75
cipro floxacin,1.31
cispl atin,7.21
clarit hromycin,24.48
clarit hromycin,40.53
clarit hromycin,4.73
clind amycin,16.64
clind amycin,28.86
clind amycin,19.3
clind amycin,61.65
cloba zam,5.83
cloba zam,10.01
clofa zimine,4.05
clofa zimine,2.15
clom iphene citrate,27.85
clom iphene citrate,52.03
clom iphene citrate,14.19
clom iphene citrate,8.99
clom ipramine,2.9
clom ipramine,6.33
clom ipramine,16.75
clona zepam,2.06
clona zepam,3.51
clona zepam,4.85
clopi dogrel,6.78
clopi dogrel,20.84
clotr imazole,3.96
cyclo sporine,341.64
cytos ine arabinoside,1150.0
cytos ine arabinoside,142.02
cytos ine arabinoside,545.66
dabig atran,32.36
dabig atran,36.21
daca rbazine,388.39
daca rbazine,527.86
dacla tasvir,203.45
daps one,0.42
daun orubicin,308.03
daru navir,157.13
"daru navir (a)
+ritonavir (b)",149.01
desfe rrioxamine,287.9
dexa methasone,0.22
dexa methasone,4.7
dexa methasone,5.18
dexa methasone,2.61
dexa methasone,1.6
dexa methasone,1.37
dexa methasone,0.92
dextr an-40,1.07
diaze pam,1.66
diaze pam,5.64
diaze pam,1.47
diaze pam,6.3
diaze pam,3.46
diclo fenac,2.09
doxo rubicin,32.3
doxy cycline,3.13
doxy cycline,1.24
doxy cycline,511.39
dpt v accine,17.95
d-pe nicillamine,15.92
dpt+ hib+ hep b vaccine,76.97
efavi renz,71.82
efavi renz,22.93
efavi renz,22.36
enala pril,3.76
enala pril,2.23
enox aparin,113.94
entec avir,132.51
entec avir,85.91
